eksiĝon,(∅|e|k)-(s|i)-(ĝ|o|n),8
aŭskulto,(∅|a|ŭ)-(sk|u|l)-(t|o),8
kandidatigon,(k|a|n)-(d|i)-(d|a)-(t|i)-(g|o|n),8
amikecoj,(∅|a)-(m|i)-(k|e)-(c|o|j),8
kazino,(k|a)-(z|i)-(n|o),8
militemo,(m|i)-(l|i)-(t|e)-(m|o),8
voĉ_doniloj,(v|o|ĉ)-(d|o)-(n|i)-(l|o|j),8
legitimilojn,(l|e)-(g|i)-(t|i)-(m|i)-(l|o|jn),8
profesiojn,(pr|o)-(f|e)-(s|i)-(∅|o|jn),8
denuncon,(d|e)-(n|u|n)-(c|o|n),8
mezuriloj,(m|e)-(z|u)-(r|i)-(l|o|j),8
dikulo,(d|i)-(k|u)-(l|o),8
formalaĵoj,(f|o|r)-(m|a)-(l|a)-(ĵ|o|j),8
distrado,(d|i|s)-(tr|a)-(d|o),8
konjekton,(k|o|n)-(j|e|k)-(t|o|n),8
kremon,(kr|e)-(m|o|n),8
mem_determinado,(m|e|m)-(d|e)-(t|e|r)-(m|i)-(n|a)-(d|o),8
personecojn,(p|e|r)-(s|o)-(n|e)-(c|o|jn),8
hinduistoj,(h|i|n)-(d|u)-(∅|i|s)-(t|o|j),8
tag_libroj,(t|a|g)-(l|i|b)-(r|o|j),8
laboristinojn,(l|a)-(b|o)-(r|i|s)-(t|i)-(n|o|jn),8
mar_haveno,(m|a|r)-(h|a)-(v|e)-(n|o),8
jekaterinburgo,(j|e)-(k|a)-(t|e)-(r|i|n)-(b|u|r)-(g|o),8
luantojn,(l|u)-(∅|a|n)-(t|o|jn),8
detektivon,(d|e)-(t|e|k)-(t|i)-(v|o|n),8
estrarojn,(∅|e|s)-(tr|a)-(r|o|jn),8
stimulo,(st|i)-(m|u)-(l|o),8
en_dormiĝo,(∅|e|n)-(d|o|r)-(m|i)-(ĝ|o),8
kaskedo,(k|a|s)-(k|e)-(d|o),8
grupigo,(gr|u)-(p|i)-(g|o),8
stud_programon,(st|u|d)-(pr|o|g)-(r|a)-(m|o|n),8
retorikoj,(r|e)-(t|o)-(r|i)-(k|o|j),8
respond_kuponoj,(r|e|s)-(p|o|nd)-(k|u)-(p|o)-(n|o|j),8
trans_portilo,(tr|a|ns)-(p|o|r)-(t|i)-(l|o),8
grupeton,(gr|u)-(p|e)-(t|o|n),8
epilogo,(∅|e)-(p|i)-(l|o)-(g|o),8
patenton,(p|a)-(t|e|n)-(t|o|n),8
legomo,(l|e)-(g|o)-(m|o),8
melongeno,(m|e)-(l|o|n)-(g|e)-(n|o),8
viktorio,(v|i|k)-(t|o)-(r|i)-(∅|o),8
revivigo,(r|e)-(v|i)-(v|i)-(g|o),8
super_dozoj,(s|u)-(p|e|r)-(d|o)-(z|o|j),8
tabakujo,(t|a)-(b|a)-(k|u)-(j|o),8
bovaĵo,(b|o)-(v|a)-(ĵ|o),8
san_zorgo,(s|a|n)-(z|o|r)-(g|o),8
substancojn,(s|u|b)-(st|a|n)-(c|o|jn),8
herbaro,(h|e|r)-(b|a)-(r|o),8
artistino,(∅|a|r)-(t|i|s)-(t|i)-(n|o),8
retaliron,(r|e)-(t|a)-(l|i)-(r|o|n),8
vitralo,(v|i|t)-(r|a)-(l|o),8
alfabetojn,(∅|a|l)-(f|a)-(b|e)-(t|o|jn),8
linukson,(l|i)-(n|u|k)-(s|o|n),8
ŝovinistoj,(ŝ|o)-(v|i)-(n|i|s)-(t|o|j),8
ŝton_minejo,(ŝt|o|n)-(m|i)-(n|e)-(j|o),8
libretojn,(l|i|b)-(r|e)-(t|o|jn),8
osetoj,(∅|o)-(s|e)-(t|o|j),8
tajpado,(t|a|j)-(p|a)-(d|o),8
ŝtopiĝoj,(ŝt|o)-(p|i)-(ĝ|o|j),8
reĝolando,(r|e)-(ĝ|o)-(l|a|n)-(d|o),8
koruson,(k|o)-(r|u)-(s|o|n),8
vortumoj,(v|o|r)-(t|u)-(m|o|j),8
manifestoj,(m|a)-(n|i)-(f|e|s)-(t|o|j),8
karelio,(k|a)-(r|e)-(l|i)-(∅|o),8
komputilisto,(k|o|m)-(p|u)-(t|i)-(l|i|s)-(t|o),8
ekonomo,(∅|e)-(k|o)-(n|o)-(m|o),8
energiŝparado,(∅|e)-(n|e|r)-(g|i|ŝ)-(p|a)-(r|a)-(d|o),8
leksikografo,(l|e|k)-(s|i)-(k|o|g)-(r|a)-(f|o),8
avio,(∅|a)-(v|i)-(∅|o),8
trejniĝo,(tr|e|j)-(n|i)-(ĝ|o),8
belfasto,(b|e|l)-(f|a|s)-(t|o),8
mal_similaĵoj,(m|a|l)-(s|i)-(m|i)-(l|a)-(ĵ|o|j),8
hungar_lando,(h|u|n)-(g|a|r)-(l|a|n)-(d|o),8
klavaron,(kl|a)-(v|a)-(r|o|n),8
ripeton,(r|i)-(p|e)-(t|o|n),8
bohemio,(b|o)-(h|e)-(m|i)-(∅|o),8
gen_tekniko,(g|e|n)-(t|e|k)-(n|i)-(k|o),8
erotiko,(∅|e)-(r|o)-(t|i)-(k|o),8
tradukilo,(tr|a)-(d|u)-(k|i)-(l|o),8
juĝ_proceso,(j|u|ĝ)-(pr|o)-(c|e)-(s|o),8
sagao,(s|a)-(g|a)-(∅|o),8
ekvacioj,(∅|e|k)-(v|a)-(c|i)-(∅|o|j),8
vergilio,(v|e|r)-(g|i)-(l|i)-(∅|o),8
heliko,(h|e)-(l|i)-(k|o),8
fonemon,(f|o)-(n|e)-(m|o|n),8
stirio,(st|i)-(r|i)-(∅|o),8
biografieton,(b|i)-(∅|o|g)-(r|a)-(f|i)-(∅|e)-(t|o|n),8
originalaĵojn,(∅|o)-(r|i)-(g|i)-(n|a)-(l|a)-(ĵ|o|jn),8
metriko,(m|e|t)-(r|i)-(k|o),8
ĉapelilo,(ĉ|a)-(p|e)-(l|i)-(l|o),8
transilvanio,(tr|a|n)-(s|i|l)-(v|a)-(n|i)-(∅|o),8
art_galerio,(∅|a|rt)-(g|a)-(l|e)-(r|i)-(∅|o),8
el_donintoj,(∅|e|l)-(d|o)-(n|i|n)-(t|o|j),8
recenzantoj,(r|e)-(c|e|n)-(z|a|n)-(t|o|j),8
palatinato,(p|a)-(l|a)-(t|i)-(n|a)-(t|o),8
psikanalizisto,(ps|i)-(k|a)-(n|a)-(l|i)-(z|i|s)-(t|o),8
kofroj,(k|o|f)-(r|o|j),8
kolofono,(k|o)-(l|o)-(f|o)-(n|o),8
pratempoj,(pr|a)-(t|e|m)-(p|o|j),8
skuno,(sk|u)-(n|o),8
labor_lingvon,(l|a)-(b|o|r)-(l|i|n)-(gv|o|n),8
recenzisto,(r|e)-(c|e|n)-(z|i|s)-(t|o),8
kurac_metodoj,(k|u)-(r|a|c)-(m|e)-(t|o)-(d|o|j),8
usonanino,(∅|u)-(s|o)-(n|a)-(n|i)-(n|o),8
ret_servoj,(r|e|t)-(s|e|r)-(v|o|j),8
astrofizikisto,(∅|a|s)-(tr|o)-(f|i)-(z|i)-(k|i|s)-(t|o),8
kolektaĵoj,(k|o)-(l|e|k)-(t|a)-(ĵ|o|j),8
klimatizilo,(kl|i)-(m|a)-(t|i)-(z|i)-(l|o),8
ĝendarmejo,(ĝ|e|n)-(d|a|r)-(m|e)-(j|o),8
bosnujo,(b|o|s)-(n|u)-(j|o),8
dunkirko,(d|u|n)-(k|i|r)-(k|o),8
aleksandron,(∅|a)-(l|e|k)-(s|a|n)-(dr|o|n),8
seks_per_forton,(s|e|ks)-(p|e|r)-(f|o|r)-(t|o|n),8
normigo,(n|o|r)-(m|i)-(g|o),8
kunaŭtoroj,(k|u)-(n|a|ŭ)-(t|o)-(r|o|j),8
hispan_parolantoj,(h|i|s)-(p|a|n)-(p|a)-(r|o)-(l|a|n)-(t|o|j),8
turneon,(t|u|r)-(n|e)-(∅|o|n),8
lib_rolisto,(l|i|b)-(r|o)-(l|i|s)-(t|o),8
miksiĝo,(m|i|k)-(s|i)-(ĝ|o),8
ĉeĥujo,(ĉ|e)-(ĥ|u)-(j|o),8
biciklistoj,(b|i)-(c|i|k)-(l|i|s)-(t|o|j),8
oligarĥaro,(∅|o)-(l|i)-(g|a|r)-(ĥ|a)-(r|o),8
hom_forto,(h|o|m)-(f|o|r)-(t|o),8
fulmobato,(f|u|l)-(m|o)-(b|a)-(t|o),8
konsulejon,(k|o|n)-(s|u)-(l|e)-(j|o|n),8
necertecon,(n|e)-(c|e|r)-(t|e)-(c|o|n),8
strekoj,(str|e)-(k|o|j),8
arkaismoj,(∅|a|r)-(k|a)-(∅|i|s)-(m|o|j),8
paŝado,(p|a)-(ŝ|a)-(d|o),8
glit_veturilo,(gl|i|t)-(v|e)-(t|u)-(r|i)-(l|o),8
cervido,(c|e|r)-(v|i)-(d|o),8
am_donantino,(∅|a|m)-(d|o)-(n|a|n)-(t|i)-(n|o),8
intesto,(∅|i|n)-(t|e|s)-(t|o),8
sub_tegmentejon,(s|u|b)-(t|e|g)-(m|e|n)-(t|e)-(j|o|n),8
likvoro,(l|i|k)-(v|o)-(r|o),8
bubojn,(b|u)-(b|o|jn),8
rublon,(r|u|b)-(l|o|n),8
farmistedzino,(f|a|r)-(m|i|s)-(t|e|d)-(z|i)-(n|o),8
nimfoj,(n|i|m)-(f|o|j),8
tadeuŝo,(t|a)-(d|e)-(∅|u)-(ŝ|o),8
bernardino,(b|e|r)-(n|a|r)-(d|i)-(n|o),8
moŝteto,(m|o|ŝ)-(t|e)-(t|o),8
laĥoj,(l|a)-(ĥ|o|j),8
beletristo,(b|e)-(l|e|t)-(r|i|s)-(t|o),8
multenombro,(m|u|l)-(t|e)-(n|o|m)-(br|o),8
montaĵo,(m|o|n)-(t|a)-(ĵ|o),8
sestercoj,(s|e|s)-(t|e|r)-(c|o|j),8
epikuranoj,(∅|e)-(p|i)-(k|u)-(r|a)-(n|o|j),8
benevento,(b|e)-(n|e)-(v|e|n)-(t|o),8
fato,(f|a)-(t|o),8
spongon,(sp|o|n)-(g|o|n),8
pardonado,(p|a|r)-(d|o)-(n|a)-(d|o),8
dentegoj,(d|e|n)-(t|e)-(g|o|j),8
efezo,(∅|e)-(f|e)-(z|o),8
kortisto,(k|o|r)-(t|i|s)-(t|o),8
ŝtoneroj,(ŝt|o)-(n|e)-(r|o|j),8
maniaĵoj,(m|a)-(n|i)-(∅|a)-(ĵ|o|j),8
vin_berarbo,(v|i|n)-(b|e)-(r|a|r)-(b|o),8
barabason,(b|a)-(r|a)-(b|a)-(s|o|n),8
kilikio,(k|i)-(l|i)-(k|i)-(∅|o),8
kornelio,(k|o|r)-(n|e)-(l|i)-(∅|o),8
diferencigo,(d|i)-(f|e)-(r|e|n)-(c|i)-(g|o),8
spes_milojn,(sp|e|s)-(m|i)-(l|o|jn),8
politeknikisto,(p|o)-(l|i)-(t|e|k)-(n|i)-(k|i|s)-(t|o),8
oratorado,(∅|o)-(r|a)-(t|o)-(r|a)-(d|o),8
ĉef_temoj,(ĉ|e|f)-(t|e)-(m|o|j),8
eduk_ministro,(∅|e)-(d|u|k)-(m|i)-(n|i|s)-(tr|o),8
noveletoj,(n|o)-(v|e)-(l|e)-(t|o|j),8
drametoj,(dr|a)-(m|e)-(t|o|j),8
belarto,(b|e)-(l|a|r)-(t|o),8
enciklopedieto,(∅|e|n)-(c|i|k)-(l|o)-(p|e)-(d|i)-(∅|e)-(t|o),8
antologieto,(∅|a|n)-(t|o)-(l|o)-(g|i)-(∅|e)-(t|o),8
astrofiziko,(∅|a|s)-(tr|o)-(f|i)-(z|i)-(k|o),8
radiofonio,(r|a)-(d|i)-(∅|o)-(f|o)-(n|i)-(∅|o),8
fak_vortaroj,(f|a|k)-(v|o|r)-(t|a)-(r|o|j),8
deklamoj,(d|e|k)-(l|a)-(m|o|j),8
post_kongresoj,(p|o|st)-(k|o|n)-(gr|e)-(s|o|j),8
varbilojn,(v|a|r)-(b|i)-(l|o|jn),8
filatelaĵoj,(f|i)-(l|a)-(t|e)-(l|a)-(ĵ|o|j),8
mond_lingvoj,(m|o|nd)-(l|i|n)-(gv|o|j),8
skeĉojn,(sk|e)-(ĉ|o|jn),8
klerigadon,(kl|e)-(r|i)-(g|a)-(d|o|n),8
raŭpo,(r|a|ŭ)-(p|o),8
sakaiminato,(s|a)-(k|a)-(∅|i)-(m|i)-(n|a)-(t|o),8
opioidoj,(∅|o)-(p|i)-(∅|o)-(∅|i)-(d|o|j),8
poenton,(p|o)-(∅|e|n)-(t|o|n),8
besteto,(b|e|s)-(t|e)-(t|o),8
samideanino,(s|a)-(m|i)-(d|e)-(∅|a)-(n|i)-(n|o),8
anglino,(∅|a|n)-(gl|i)-(n|o),8
spes_dekoj,(sp|e|s)-(d|e)-(k|o|j),8
suferantino,(s|u)-(f|e)-(r|a|n)-(t|i)-(n|o),8
filharmonio,(f|i|l)-(h|a|r)-(m|o)-(n|i)-(∅|o),8
kvizon,(kv|i)-(z|o|n),8
kasedon,(k|a)-(s|e)-(d|o|n),8
stirantoj,(st|i)-(r|a|n)-(t|o|j),8
rubeolo,(r|u)-(b|e)-(∅|o)-(l|o),8
regestilo,(r|e)-(g|e|s)-(t|i)-(l|o),8
limasolo,(l|i)-(m|a)-(s|o)-(l|o),8
travivaĵon,(tr|a)-(v|i)-(v|a)-(ĵ|o|n),8
redaktantoj,(r|e)-(d|a|k)-(t|a|n)-(t|o|j),8
eraretoj,(∅|e)-(r|a)-(r|e)-(t|o|j),8
bahaanoj,(b|a)-(h|a)-(∅|a)-(n|o|j),8
muzik_stilo,(m|u)-(z|i|k)-(st|i)-(l|o),8
karbonato,(k|a|r)-(b|o)-(n|a)-(t|o),8
somer_lernejo,(s|o)-(m|e|r)-(l|e|r)-(n|e)-(j|o),8
mezaĝuloj,(m|e)-(z|a)-(ĝ|u)-(l|o|j),8
super_sekundo,(s|u)-(p|e|r)-(s|e)-(k|u|n)-(d|o),8
filatelistoj,(f|i)-(l|a)-(t|e)-(l|i|s)-(t|o|j),8
reno,(r|e)-(n|o),8
sak_ŝalmo,(s|a|k)-(ŝ|a|l)-(m|o),8
pajleroj,(p|a|j)-(l|e)-(r|o|j),8
fab_rizio,(f|a|b)-(r|i)-(z|i)-(∅|o),8
membronombroj,(m|e|m)-(br|o)-(n|o|m)-(br|o|j),8
fald_foliojn,(f|a|ld)-(f|o)-(l|i)-(∅|o|jn),8
matineo,(m|a)-(t|i)-(n|e)-(∅|o),8
fotoekspozicio,(f|o)-(t|o)-(∅|e|k)-(sp|o)-(z|i)-(c|i)-(∅|o),8
jubileulo,(j|u)-(b|i)-(l|e)-(∅|u)-(l|o),8
skribilojn,(skr|i)-(b|i)-(l|o|jn),8
dunganonco,(d|u|n)-(g|a)-(n|o|n)-(c|o),8
scipovon,(sc|i)-(p|o)-(v|o|n),8
disertaĵo,(d|i)-(s|e|r)-(t|a)-(ĵ|o),8
jar_kolekton,(j|a|r)-(k|o)-(l|e|k)-(t|o|n),8
komitat_kun_sidoj,(k|o)-(m|i)-(t|a|t)-(k|u|n)-(s|i)-(d|o|j),8
fest_libro,(f|e|st)-(l|i|b)-(r|o),8
gitaristo,(g|i)-(t|a)-(r|i|s)-(t|o),8
plen_kun_sido,(pl|e|n)-(k|u|n)-(s|i)-(d|o),8
fin_venkistoj,(f|i|n)-(v|e|n)-(k|i|s)-(t|o|j),8
kun_laboremo,(k|u|n)-(l|a)-(b|o)-(r|e)-(m|o),8
aper_ritmo,(∅|a)-(p|e|r)-(r|i|t)-(m|o),8
arkivejo,(∅|a|r)-(k|i)-(v|e)-(j|o),8
fak_kun_sidoj,(f|a|k)-(k|u|n)-(s|i)-(d|o|j),8
inter_lingvistikon,(∅|i|n)-(t|e|r)-(l|i|n)-(gv|i|s)-(t|i)-(k|o|n),8
kunorganizanto,(k|u)-(n|o|r)-(g|a)-(n|i)-(z|a|n)-(t|o),8
glosisto,(gl|o)-(s|i|s)-(t|o),8
subvencipetado,(s|u|b)-(v|e|n)-(c|i)-(p|e)-(t|a)-(d|o),8
bohuslando,(b|o)-(h|u|s)-(l|a|n)-(d|o),8
malagasio,(m|a)-(l|a)-(g|a)-(s|i)-(∅|o),8
duon_horoj,(d|u)-(∅|o|n)-(h|o)-(r|o|j),8
natur_kuracado,(n|a)-(t|u|r)-(k|u)-(r|a)-(c|a)-(d|o),8
libromer_kato,(l|i|b)-(r|o)-(m|e|r)-(k|a)-(t|o),8
romancoj,(r|o)-(m|a|n)-(c|o|j),8
ĉeboksaro,(ĉ|e)-(b|o|k)-(s|a)-(r|o),8
mefistofelo,(m|e)-(f|i|s)-(t|o)-(f|e)-(l|o),8
prato,(pr|a)-(t|o),8
trejnadojn,(tr|e|j)-(n|a)-(d|o|jn),8
adres_libro,(∅|a|d)-(r|e|s)-(l|i|b)-(r|o),8
medano,(m|e)-(d|a)-(n|o),8
pipulo,(p|i)-(p|u)-(l|o),8
antio,(∅|a|n)-(t|i)-(∅|o),8
baulo,(b|a)-(∅|u)-(l|o),8
eklogon,(∅|e|k)-(l|o)-(g|o|n),8
fenestroklapoj,(f|e)-(n|e|s)-(tr|o|k)-(l|a)-(p|o|j),8
vinicio,(v|i)-(n|i)-(c|i)-(∅|o),8
lepidon,(l|e)-(p|i)-(d|o|n),8
skrib_tabuleton,(skr|i|b)-(t|a)-(b|u)-(l|e)-(t|o|n),8
vekilo,(v|e)-(k|i)-(l|o),8
raz_grado,(r|a|z)-(gr|a)-(d|o),8
katido,(k|a)-(t|i)-(d|o),8
kapitulo,(k|a)-(p|i)-(t|u)-(l|o),8
turmentita,(t|u|r)-(m|e|n)-(t|i)-(t|a),8
sternita,(st|e|r)-(n|i)-(t|a),8
groteskaj,(gr|o)-(t|e|s)-(k|a|j),8
senordaj,(s|e)-(n|o|r)-(d|a|j),8
saltanta,(s|a|l)-(t|a|n)-(t|a),8
dorlotata,(d|o|r)-(l|o)-(t|a)-(t|a),8
trapikita,(tr|a)-(p|i)-(k|i)-(t|a),8
preter_pasantaj,(pr|e)-(t|e|r)-(p|a)-(s|a|n)-(t|a|j),8
tag_manĝa,(t|a|g)-(m|a|n)-(ĝ|a),8
mal_moralaj,(m|a|l)-(m|o)-(r|a)-(l|a|j),8
ŝanĝebla,(ŝ|a|n)-(ĝ|e|b)-(l|a),8
dogma,(d|o|g)-(m|a),8
ŝatindan,(ŝ|a)-(t|i|n)-(d|a|n),8
ŝminkita,(ŝm|i|n)-(k|i)-(t|a),8
vendebla,(v|e|n)-(d|e|b)-(l|a),8
distingebla,(d|i|s)-(t|i|n)-(g|e|b)-(l|a),8
ŝtonigita,(ŝt|o)-(n|i)-(g|i)-(t|a),8
kontentega,(k|o|n)-(t|e|n)-(t|e)-(g|a),8
studanta,(st|u)-(d|a|n)-(t|a),8
sen_pretenda,(s|e|n)-(pr|e)-(t|e|n)-(d|a),8
rondajn,(r|o|n)-(d|a|jn),8
drapirita,(dr|a)-(p|i)-(r|i)-(t|a),8
cinikaj,(c|i)-(n|i)-(k|a|j),8
avantaĝan,(∅|a)-(v|a|n)-(t|a)-(ĝ|a|n),8
bolantan,(b|o)-(l|a|n)-(t|a|n),8
tenaca,(t|e)-(n|a)-(c|a),8
difektitan,(d|i)-(f|e|k)-(t|i)-(t|a|n),8
ridiga,(r|i)-(d|i)-(g|a),8
sarkasma,(s|a|r)-(k|a|s)-(m|a),8
estra,(∅|e|s)-(tr|a),8
krutaj,(kr|u)-(t|a|j),8
trompata,(tr|o|m)-(p|a)-(t|a),8
fiŝ_kaptista,(f|i|ŝ)-(k|a|p)-(t|i|s)-(t|a),8
antaŭaranĝita,(∅|a|n)-(t|a|ŭ)-(∅|a)-(r|a|n)-(ĝ|i)-(t|a),8
haveblan,(h|a)-(v|e|b)-(l|a|n),8
kompletigaj,(k|o|m)-(pl|e)-(t|i)-(g|a|j),8
definitivaj,(d|e)-(f|i)-(n|i)-(t|i)-(v|a|j),8
kaŝan,(k|a)-(ŝ|a|n),8
ĵurnalistan,(ĵ|u|r)-(n|a)-(l|i|s)-(t|a|n),8
kompletigitaj,(k|o|m)-(pl|e)-(t|i)-(g|i)-(t|a|j),8
timanta,(t|i)-(m|a|n)-(t|a),8
amasinformila,(∅|a)-(m|a)-(s|i|n)-(f|o|r)-(m|i)-(l|a),8
atingitajn,(∅|a)-(t|i|n)-(g|i)-(t|a|jn),8
neel_teneblan,(n|e)-(∅|e|l)-(t|e)-(n|e|b)-(l|a|n),8
surfaca,(s|u|r)-(f|a)-(c|a),8
maloportunaj,(m|a)-(l|o)-(p|o|r)-(t|u)-(n|a|j),8
nekvalifikitaj,(n|e|k)-(v|a)-(l|i)-(f|i)-(k|i)-(t|a|j),8
sindikatan,(s|i|n)-(d|i)-(k|a)-(t|a|n),8
trans_genaj,(tr|a|ns)-(g|e)-(n|a|j),8
subordigita,(s|u)-(b|o|r)-(d|i)-(g|i)-(t|a),8
moviĝantan,(m|o)-(v|i)-(ĝ|a|n)-(t|a|n),8
divers_speca,(d|i)-(v|e|rs)-(sp|e)-(c|a),8
energiajn,(∅|e)-(n|e|r)-(g|i)-(∅|a|jn),8
animata,(∅|a)-(n|i)-(m|a)-(t|a),8
stariganta,(st|a)-(r|i)-(g|a|n)-(t|a),8
amas_komunika,(∅|a)-(m|a|s)-(k|o)-(m|u)-(n|i)-(k|a),8
plen_rajtaj,(pl|e|n)-(r|a|j)-(t|a|j),8
komplementa,(k|o|m)-(pl|e)-(m|e|n)-(t|a),8
frostigitaj,(fr|o|s)-(t|i)-(g|i)-(t|a|j),8
makroekonomia,(m|a|k)-(r|o)-(∅|e)-(k|o)-(n|o)-(m|i)-(∅|a),8
valuta,(v|a)-(l|u)-(t|a),8
konkurenciva,(k|o|n)-(k|u)-(r|e|n)-(c|i)-(v|a),8
justican,(j|u|s)-(t|i)-(c|a|n),8
eksplodan,(∅|e|ks)-(pl|o)-(d|a|n),8
proporcian,(pr|o)-(p|o|r)-(c|i)-(∅|a|n),8
societaj,(s|o)-(c|i)-(∅|e)-(t|a|j),8
hezitemaj,(h|e)-(z|i)-(t|e)-(m|a|j),8
larĝanimaj,(l|a|r)-(ĝ|a)-(n|i)-(m|a|j),8
aneksita,(∅|a)-(n|e|k)-(s|i)-(t|a),8
konfederacia,(k|o|n)-(f|e)-(d|e)-(r|a)-(c|i)-(∅|a),8
eŭropisma,(∅|e|ŭ)-(r|o)-(p|i|s)-(m|a),8
median,(m|e)-(d|i)-(∅|a|n),8
fondan,(f|o|n)-(d|a|n),8
vizitita,(v|i)-(z|i)-(t|i)-(t|a),8
nordamerikaj,(n|o|r)-(d|a)-(m|e)-(r|i)-(k|a|j),8
virtan,(v|i|r)-(t|a|n),8
rajtan,(r|a|j)-(t|a|n),8
konsiderita,(k|o|n)-(s|i)-(d|e)-(r|i)-(t|a),8
el_spezitaj,(∅|e|l)-(sp|e)-(z|i)-(t|a|j),8
provokita,(pr|o)-(v|o)-(k|i)-(t|a),8
ekster_teritoria,(∅|e|k)-(st|e|r)-(t|e)-(r|i)-(t|o)-(r|i)-(∅|a),8
kvaropa,(kv|a)-(r|o)-(p|a),8
aktivulaj,(∅|a|k)-(t|i)-(v|u)-(l|a|j),8
rekoneblajn,(r|e)-(k|o)-(n|e|b)-(l|a|jn),8
preparan,(pr|e)-(p|a)-(r|a|n),8
akcepteblajn,(∅|a|k)-(c|e|p)-(t|e|b)-(l|a|jn),8
taskitajn,(t|a|s)-(k|i)-(t|a|jn),8
koloniitaj,(k|o)-(l|o)-(n|i)-(∅|i)-(t|a|j),8
moderniga,(m|o)-(d|e|r)-(n|i)-(g|a),8
liturgia,(l|i)-(t|u|r)-(g|i)-(∅|a),8
sanitara,(s|a)-(n|i)-(t|a)-(r|a),8
oportunisma,(∅|o)-(p|o|r)-(t|u)-(n|i|s)-(m|a),8
neprajn,(n|e|p)-(r|a|jn),8
aŭskultataj,(∅|a|ŭ)-(sk|u|l)-(t|a)-(t|a|j),8
ministraj,(m|i)-(n|i|s)-(tr|a|j),8
blindiga,(bl|i|n)-(d|i)-(g|a),8
efemeran,(∅|e)-(f|e)-(m|e)-(r|a|n),8
pezega,(p|e)-(z|e)-(g|a),8
tolerataj,(t|o)-(l|e)-(r|a)-(t|a|j),8
duon_horan,(d|u)-(∅|o|n)-(h|o)-(r|a|n),8
minacatajn,(m|i)-(n|a)-(c|a)-(t|a|jn),8
vjetnaman,(vj|e|t)-(n|a)-(m|a|n),8
memoreblaj,(m|e)-(m|o)-(r|e|b)-(l|a|j),8
potencialan,(p|o)-(t|e|n)-(c|i)-(∅|a)-(l|a|n),8
esceptajn,(∅|e|s)-(c|e|p)-(t|a|jn),8
ĉeĉena,(ĉ|e)-(ĉ|e)-(n|a),8
sen_zorgaj,(s|e|n)-(z|o|r)-(g|a|j),8
nikolaj,(n|i)-(k|o)-(l|a|j),8
el_laboritan,(∅|e|l)-(l|a)-(b|o)-(r|i)-(t|a|n),8
kat_rina,(k|a|t)-(r|i)-(n|a),8
imagaj,(∅|i)-(m|a)-(g|a|j),8
problemeca,(pr|o|b)-(l|e)-(m|e)-(c|a),8
poluitaj,(p|o)-(l|u)-(∅|i)-(t|a|j),8
validajn,(v|a)-(l|i)-(d|a|jn),8
en_migrinta,(∅|e|n)-(m|i|g)-(r|i|n)-(t|a),8
kuplitaj,(k|u|p)-(l|i)-(t|a|j),8
ekvivalentajn,(∅|e|k)-(v|i)-(v|a)-(l|e|n)-(t|a|jn),8
sud_korea,(s|u|d)-(k|o)-(r|e)-(∅|a),8
retirita,(r|e)-(t|i)-(r|i)-(t|a),8
reformulita,(r|e)-(f|o|r)-(m|u)-(l|i)-(t|a),8
investitaj,(∅|i|n)-(v|e|s)-(t|i)-(t|a|j),8
engaĝiĝinta,(∅|e|n)-(g|a)-(ĝ|i)-(ĝ|i|n)-(t|a),8
alena,(∅|a)-(l|e)-(n|a),8
super_fluajn,(s|u)-(p|e|r)-(fl|u)-(∅|a|jn),8
ŝtelitajn,(ŝt|e)-(l|i)-(t|a|jn),8
konformajn,(k|o|n)-(f|o|r)-(m|a|jn),8
mal_plia,(m|a|l)-(pl|i)-(∅|a),8
insidan,(∅|i|n)-(s|i)-(d|a|n),8
sen_peran,(s|e|n)-(p|e)-(r|a|n),8
patriotan,(p|a|t)-(r|i)-(∅|o)-(t|a|n),8
alarmita,(∅|a)-(l|a|r)-(m|i)-(t|a),8
pacigan,(p|a)-(c|i)-(g|a|n),8
al_frontataj,(∅|a|l)-(fr|o|n)-(t|a)-(t|a|j),8
mal_bon_kvalitaj,(m|a|l)-(b|o|n)-(kv|a)-(l|i)-(t|a|j),8
eksportata,(∅|e|k)-(sp|o|r)-(t|a)-(t|a),8
anonimajn,(∅|a)-(n|o)-(n|i)-(m|a|jn),8
turmentataj,(t|u|r)-(m|e|n)-(t|a)-(t|a|j),8
stabiliga,(st|a)-(b|i)-(l|i)-(g|a),8
bosna,(b|o|s)-(n|a),8
mensogan,(m|e|n)-(s|o)-(g|a|n),8
farotaj,(f|a)-(r|o)-(t|a|j),8
toksajn,(t|o|k)-(s|a|jn),8
apokalipsa,(∅|a)-(p|o)-(k|a)-(l|i|p)-(s|a),8
hegemonian,(h|e)-(g|e)-(m|o)-(n|i)-(∅|a|n),8
veturonta,(v|e)-(t|u)-(r|o|n)-(t|a),8
deportita,(d|e)-(p|o|r)-(t|i)-(t|a),8
primitivan,(pr|i)-(m|i)-(t|i)-(v|a|n),8
troajn,(tr|o)-(∅|a|jn),8
sukcesintaj,(s|u|k)-(c|e)-(s|i|n)-(t|a|j),8
ĝenevan,(ĝ|e)-(n|e)-(v|a|n),8
batata,(b|a)-(t|a)-(t|a),8
imagitan,(∅|i)-(m|a)-(g|i)-(t|a|n),8
praktikebla,(pr|a|k)-(t|i)-(k|e|b)-(l|a),8
